주소1,주소2,주소3,인구,면적(km²),안전,여가,식당,의료,마트,편의 시설
서울특별시,송파구,위례동,45193,2.55,54.0,22.0,23.0,26.0,27.0,22.0
서울특별시,송파구,잠실2동,34916,2.18,54.0,22.0,21.0,26.0,22.0,23.0
서울특별시,송파구,잠실3동,33896,1.49,54.0,24.0,22.0,30.0,24.0,24.0
서울특별시,송파구,잠실4동,21086,1.56,54.0,21.0,21.0,28.0,23.0,21.0
서울특별시,송파구,잠실6동,16563,2.79,68.0,25.0,26.0,28.0,28.0,26.0
서울특별시,송파구,잠실7동,9388,0.6,55.0,22.0,22.0,42.0,27.0,25.0
서울특별시,송파구,잠실본동,28055,0.94,58.0,50.0,49.0,46.0,50.0,30.0
서울특별시,송파구,장지동,30774,1.37,56.0,26.0,26.0,33.0,31.0,23.0
서울특별시,송파구,풍납1동,11742,0.77,57.0,22.0,27.0,40.0,30.0,23.0
서울특별시,송파구,풍납2동,23263,1.59,56.0,24.0,24.0,31.0,30.0,24.0
서울특별시,양천구,목1동,30286,1.41,69.0,33.0,33.0,34.0,35.0,29.0
서울특별시,양천구,목2동,28657,1.03,74.0,27.0,29.0,30.0,35.0,24.0
서울특별시,양천구,목3동,21111,0.53,75.0,34.0,38.0,45.0,45.0,33.0
서울특별시,양천구,목4동,24339,0.57,75.0,35.0,40.0,39.0,44.0,28.0
서울특별시,양천구,목5동,40741,1.81,69.0,24.0,25.0,27.0,29.0,24.0
서울특별시,양천구,신월1동,19208,0.65,75.0,29.0,38.0,36.0,38.0,28.0
서울특별시,양천구,신월2동,20737,0.61,74.0,27.0,28.0,33.0,34.0,24.0
서울특별시,양천구,신월3동,14239,0.87,72.0,24.0,26.0,28.0,31.0,24.0
서울특별시,양천구,신월4동,17230,0.52,72.0,27.0,34.0,36.0,39.0,26.0
서울특별시,양천구,신월5동,14028,0.69,72.0,27.0,31.0,31.0,43.0,26.0
서울특별시,양천구,신월6동,13804,0.41,72.0,29.0,32.0,37.0,37.0,25.0
서울특별시,양천구,신월7동,18400,1.19,71.0,27.0,27.0,29.0,28.0,23.0
서울특별시,양천구,신정1동,19684,0.7,71.0,29.0,34.0,36.0,36.0,30.0
서울특별시,양천구,신정2동,18651,0.52,72.0,35.0,36.0,39.0,40.0,25.0
서울특별시,양천구,신정3동,48956,2.72,70.0,24.0,23.0,25.0,27.0,22.0
서울특별시,양천구,신정4동,32111,1.01,75.0,32.0,40.0,35.0,42.0,31.0
서울특별시,양천구,신정6동,23989,0.96,69.0,26.0,23.0,26.0,31.0,28.0
서울특별시,양천구,신정7동,28180,1.21,70.0,26.0,25.0,27.0,26.0,24.0
서울특별시,영등포구,당산1동,21631,0.75,53.0,40.0,46.0,40.0,49.0,33.0
서울특별시,영등포구,당산2동,36863,1.55,51.0,32.0,31.0,33.0,38.0,26.0
서울특별시,영등포구,대림1동,16031,0.49,59.0,25.0,37.0,46.0,50.0,26.0
서울특별시,영등포구,대림2동,17522,0.55,61.0,24.0,43.0,46.0,54.0,28.0
서울특별시,영등포구,대림3동,24624,0.95,54.0,28.0,34.0,35.0,43.0,29.0
서울특별시,영등포구,도림동,19611,0.89,54.0,26.0,27.0,33.0,36.0,24.0
서울특별시,영등포구,문래동,31737,1.49,53.0,33.0,35.0,31.0,37.0,29.0
서울특별시,영등포구,신길1동,20420,0.66,57.0,27.0,33.0,39.0,45.0,28.0
서울특별시,영등포구,신길3동,16901,0.52,58.0,29.0,32.0,49.0,45.0,30.0
서울특별시,영등포구,신길4동,12609,0.38,56.0,20.0,30.0,44.0,41.0,28.0
서울특별시,영등포구,신길5동,10639,0.47,59.0,23.0,27.0,39.0,38.0,30.0
서울특별시,영등포구,신길6동,18597,0.65,54.0,28.0,35.0,44.0,44.0,28.0
서울특별시,영등포구,신길7동,19830,0.64,52.0,27.0,27.0,37.0,37.0,29.0
서울특별시,영등포구,양평1동,18496,0.88,53.0,29.0,34.0,33.0,42.0,29.0
서울특별시,영등포구,양평2동,22938,3.0,49.0,25.0,26.0,24.0,29.0,22.0
서울특별시,영등포구,여의동,34282,8.4,47.0,28.0,29.0,24.0,29.0,32.0
서울특별시,영등포구,영등포동,32136,1.26,55.0,36.0,44.0,39.0,55.0,42.0
서울특별시,영등포구,영등포본동,22306,1.02,54.0,24.0,30.0,33.0,34.0,27.0
서울특별시,용산구,남영동,7258,1.19,42.0,34.0,39.0,28.0,35.0,33.0
서울특별시,용산구,보광동,8167,0.71,45.0,25.0,34.0,28.0,34.0,28.0
서울특별시,용산구,서빙고동,13175,2.8,41.0,22.0,22.0,20.0,23.0,22.0
서울특별시,용산구,용문동,11268,0.28,46.0,22.0,39.0,33.0,38.0,29.0
서울특별시,용산구,용산2가동,10104,1.96,42.0,21.0,27.0,21.0,28.0,22.0
서울특별시,용산구,원효로1동,17764,0.59,44.0,27.0,40.0,27.0,41.0,29.0
서울특별시,용산구,원효로2동,13652,0.71,43.0,23.0,26.0,23.0,30.0,25.0
서울특별시,용산구,이촌1동,25493,2.86,41.0,23.0,22.0,22.0,23.0,22.0
서울특별시,용산구,이촌2동,7773,1.22,41.0,21.0,22.0,21.0,26.0,23.0
서울특별시,용산구,이태원1동,7640,0.57,45.0,24.0,50.0,25.0,45.0,39.0
서울특별시,용산구,이태원2동,10039,0.86,44.0,24.0,32.0,23.0,31.0,25.0
서울특별시,용산구,청파동,19343,0.91,46.0,29.0,38.0,26.0,37.0,27.0
서울특별시,용산구,한강로동,22642,2.9,42.0,28.0,34.0,24.0,32.0,30.0
서울특별시,용산구,한남동,15947,3.01,43.0,34.0,32.0,22.0,28.0,26.0
서울특별시,용산구,효창동,10646,0.44,46.0,28.0,26.0,28.0,33.0,24.0
서울특별시,용산구,후암동,16283,0.86,45.0,23.0,31.0,25.0,33.0,27.0
서울특별시,은평구,갈현1동,14326,0.97,56.0,28.0,36.0,33.0,35.0,25.0
서울특별시,은평구,갈현2동,27577,0.96,56.0,28.0,36.0,32.0,42.0,24.0
서울특별시,은평구,구산동,31254,1.38,55.0,24.0,27.0,28.0,32.0,23.0
서울특별시,은평구,녹번동,35987,1.79,56.0,25.0,28.0,27.0,30.0,24.0
서울특별시,은평구,대조동,27647,0.85,56.0,33.0,44.0,41.0,44.0,30.0
서울특별시,은평구,불광1동,37564,3.13,54.0,24.0,25.0,25.0,25.0,22.0
서울특별시,은평구,불광2동,26813,1.38,56.0,24.0,26.0,27.0,29.0,25.0
서울특별시,은평구,수색동,21348,1.29,54.0,21.0,22.0,26.0,25.0,25.0
서울특별시,은평구,신사1동,26253,0.84,55.0,26.0,31.0,33.0,38.0,24.0
서울특별시,은평구,신사2동,18887,1.0,56.0,23.0,25.0,29.0,31.0,24.0
서울특별시,은평구,역촌동,44425,1.16,56.0,31.0,40.0,33.0,42.0,26.0
서울특별시,은평구,응암1동,32546,1.2,55.0,31.0,32.0,35.0,34.0,26.0
서울특별시,은평구,응암2동,27353,0.78,55.0,25.0,28.0,32.0,33.0,24.0
서울특별시,은평구,응암3동,23656,0.63,58.0,35.0,44.0,42.0,47.0,30.0
서울특별시,은평구,증산동,15994,0.81,56.0,31.0,28.0,35.0,35.0,24.0
서울특별시,은평구,진관동,53720,11.53,54.0,22.0,23.0,21.0,23.0,22.0
서울특별시,종로구,가회동,3882,0.54,22.0,44.0,40.0,27.0,28.0,28.0
서울특별시,종로구,교남동,9713,0.35,22.0,28.0,31.0,35.0,33.0,33.0
서울특별시,종로구,무악동,7867,0.36,21.0,27.0,24.0,29.0,28.0,24.0
서울특별시,종로구,부암동,9318,2.27,21.0,26.0,25.0,21.0,24.0,22.0
서울특별시,종로구,사직동,9208,1.23,22.0,47.0,50.0,32.0,39.0,48.0
서울특별시,종로구,삼청동,2460,1.49,55.0,45.0,40.0,24.0,27.0,32.0
서울특별시,종로구,숭인1동,6075,0.23,25.0,25.0,30.0,39.0,38.0,31.0
서울특별시,종로구,숭인2동,11073,0.35,23.0,38.0,43.0,35.0,50.0,38.0
서울특별시,종로구,이화동,7533,0.78,22.0,64.0,42.0,27.0,37.0,38.0
서울특별시,종로구,종로1·2·3·4가동,8549,2.35,22.0,57.0,70.0,34.0,53.0,57.0
서울특별시,종로구,종로5·6가동,5852,0.6,23.0,37.0,52.0,46.0,46.0,46.0
서울특별시,종로구,창신1동,5423,0.31,22.0,36.0,47.0,44.0,32.0,52.0
서울특별시,종로구,창신2동,8574,0.26,23.0,28.0,38.0,35.0,30.0,30.0
서울특별시,종로구,창신3동,6446,0.23,23.0,29.0,26.0,33.0,27.0,29.0
서울특별시,종로구,청운효자동,11158,2.57,22.0,26.0,28.0,22.0,25.0,24.0
서울특별시,종로구,평창동,17454,8.87,20.0,24.0,22.0,21.0,21.0,21.0
서울특별시,종로구,혜화동,19023,1.12,22.0,53.0,40.0,28.0,36.0,29.0
서울특별시,중구,광희동,7088,0.74,23.0,42.0,52.0,33.0,67.0,49.0
서울특별시,중구,다산동,13510,0.51,25.0,31.0,37.0,33.0,40.0,29.0
서울특별시,중구,동화동,9991,0.26,24.0,36.0,38.0,39.0,53.0,30.0
서울특별시,중구,명동,3381,0.99,24.0,64.0,84.0,51.0,88.0,100.0
서울특별시,중구,소공동,3495,0.95,23.0,46.0,60.0,37.0,72.0,67.0
서울특별시,중구,신당5동,10443,0.39,23.0,28.0,42.0,37.0,40.0,32.0
서울특별시,중구,신당동,8862,0.55,24.0,30.0,45.0,34.0,52.0,44.0
서울특별시,중구,약수동,16167,0.48,22.0,30.0,31.0,39.0,43.0,31.0
서울특별시,중구,을지로동,3449,0.6,23.0,56.0,70.0,41.0,62.0,55.0
서울특별시,중구,장충동,5499,1.36,22.0,23.0,28.0,23.0,33.0,26.0
서울특별시,중구,중림동,12405,0.48,24.0,31.0,37.0,35.0,41.0,30.0
서울특별시,중구,청구동,12626,0.34,24.0,38.0,31.0,34.0,35.0,27.0
서울특별시,중구,필동,5328,1.14,22.0,32.0,41.0,27.0,41.0,38.0
서울특별시,중구,황학동,13991,0.33,23.0,40.0,44.0,40.0,54.0,38.0
서울특별시,중구,회현동,4979,0.84,23.0,34.0,53.0,37.0,52.0,61.0
서울특별시,중랑구,망우3동,15902,0.92,49.0,23.0,27.0,29.0,28.0,24.0
서울특별시,중랑구,망우본동,38684,3.03,48.0,25.0,29.0,26.0,28.0,25.0
서울특별시,중랑구,면목2동,23648,0.77,49.0,27.0,36.0,33.0,35.0,25.0
서울특별시,중랑구,면목3·8동,24398,1.63,48.0,26.0,33.0,27.0,29.0,26.0
서울특별시,중랑구,면목4동,18256,0.87,49.0,28.0,27.0,28.0,30.0,25.0
서울특별시,중랑구,면목5동,14376,0.7,49.0,24.0,27.0,29.0,28.0,23.0
서울특별시,중랑구,면목7동,21381,1.2,48.0,26.0,29.0,29.0,26.0,24.0
서울특별시,중랑구,면목본동,33216,0.84,50.0,27.0,40.0,38.0,41.0,29.0
서울특별시,중랑구,묵1동,33549,1.2,49.0,26.0,29.0,29.0,32.0,23.0
서울특별시,중랑구,묵2동,18245,0.67,50.0,30.0,36.0,33.0,35.0,25.0
서울특별시,중랑구,상봉1동,23000,0.88,49.0,25.0,28.0,30.0,31.0,24.0
서울특별시,중랑구,상봉2동,21381,0.65,49.0,38.0,50.0,37.0,48.0,31.0
서울특별시,중랑구,신내1동,37308,2.56,48.0,25.0,25.0,24.0,26.0,22.0
서울특별시,중랑구,신내2동,19417,0.93,47.0,27.0,25.0,31.0,25.0,27.0
서울특별시,중랑구,중화1동,18573,0.64,49.0,23.0,27.0,34.0,34.0,26.0
서울특별시,중랑구,중화2동,24015,1.01,49.0,27.0,37.0,32.0,36.0,27.0
